CIK,start_date,start_price,six_month_price,three_year_price,return_6m,return_3y,random_predict,lgbm_predict,nn_predict,random_desired_invest,random_actual_invest,random_profit_this_ipo,random_cumulative_profit,random_capital_after_ipo,lgbm_desired_invest,lgbm_actual_invest,lgbm_profit_this_ipo,lgbm_cumulative_profit,lgbm_capital_after_ipo,nn_desired_invest,nn_actual_invest,nn_profit_this_ipo,nn_cumulative_profit,nn_capital_after_ipo,lgbm_prob_6m,lgbm_prob_3y,nn_prob_6m,nn_prob_3y,true_6m,true_3y
1530185,2012-11-28,1.5000,3.5000,4.3000,1.3333,1.8667,6M:0 3Y:0,6M:0 3Y:1,6M:1 3Y:1,0.0000,0.0000,0.0000,2293.6626,102293.6626,100.0000,100.0000,186.6667,23373.3651,123373.3651,200.0000,200.0000,320.0000,23010.7315,123010.7315,0.3613,0.9578,0.5545,0.7944,1,1
1742518,2019-01-08,47.5200,148.8100,4.7400,2.1315,-0.9003,6M:1 3Y:1,6M:1 3Y:0,6M:1 3Y:0,200.0000,200.0000,123.1271,2416.7897,102416.7897,100.0000,100.0000,213.1524,23586.5175,123586.5175,100.0000,100.0000,213.1524,23223.8839,123223.8839,0.8998,0.0339,0.5016,0.3457,1,0
1130598,2013-07-25,44730.0000,32152.5000,1035.0000,-0.2812,-0.9769,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:1,0.0000,0.0000,0.0000,2416.7897,102416.7897,0.0000,0.0000,0.0000,23586.5175,123586.5175,200.0000,200.0000,-125.8048,23098.0791,123098.0791,0.2027,0.0332,0.5328,0.5448,0,0
1727196,2018-05-24,15.5000,22.0900,26.3400,0.4252,0.6994,6M:0 3Y:1,6M:1 3Y:1,6M:1 3Y:1,100.0000,100.0000,69.9355,2486.7252,102486.7252,200.0000,200.0000,112.4516,23698.9691,123698.9691,200.0000,200.0000,112.4516,23210.5307,123210.5307,0.8800,0.9246,0.5116,0.6714,1,1
1587264,2013-12-12,1139.5700,1114.3800,53.9800,-0.0221,-0.9526,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,2486.7252,102486.7252,0.0000,0.0000,0.0000,23698.9691,123698.9691,100.0000,100.0000,-2.2105,23208.3202,123208.3202,0.3350,0.0225,0.5320,0.3049,0,0
1655891,2018-02-23,3.8200,3.3200,5.0800,-0.1309,0.3298,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,2486.7252,102486.7252,0.0000,0.0000,0.0000,23698.9691,123698.9691,0.0000,0.0000,0.0000,23208.3202,123208.3202,0.1743,0.1990,0.4919,0.3951,0,0
1819994,2020-11-24,9.7400,10.0000,4.3800,0.0267,-0.5503,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,2486.7252,102486.7252,0.0000,0.0000,0.0000,23698.9691,123698.9691,0.0000,0.0000,0.0000,23208.3202,123208.3202,0.2007,0.1309,0.4980,0.4084,0,0
1395937,2016-03-03,12.0100,14.1900,6.3400,0.1815,-0.4721,6M:0 3Y:1,6M:1 3Y:0,6M:1 3Y:0,100.0000,100.0000,-47.2107,2439.5145,102439.5145,100.0000,100.0000,18.1515,23717.1206,123717.1206,100.0000,100.0000,18.1515,23226.4717,123226.4717,0.5680,0.0465,0.5074,0.2555,1,0
2001699,2021-12-06,0.5000,0.2700,0.1000,-0.4600,-0.8000,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,2439.5145,102439.5145,0.0000,0.0000,0.0000,23717.1206,123717.1206,0.0000,0.0000,0.0000,23226.4717,123226.4717,0.3480,0.2117,0.4602,0.1363,0,0
1600422,2014-05-23,4.4900,5.7200,0.8900,0.2739,-0.8018,6M:1 3Y:0,6M:1 3Y:0,6M:1 3Y:1,100.0000,100.0000,27.3942,2466.9087,102466.9087,100.0000,100.0000,27.3942,23744.5148,123744.5148,200.0000,200.0000,-52.7840,23173.6878,123173.6878,0.9362,0.2282,0.5170,0.5794,1,0
